"sample_h - RawData"
"Wavelength nm.","T%"
397.00,0.085
397.50,0.079
398.00,0.096
398.50,0.084
399.00,0.083
399.50,0.086
400.00,0.086
400.50,0.078
401.00,0.084
401.50,0.083
402.00,0.076
402.50,0.078
403.00,0.088
403.50,0.087
404.00,0.078
404.50,0.075
405.00,0.081
405.50,0.082
406.00,0.083
406.50,0.077
407.00,0.085
407.50,0.079
408.00,0.078
408.50,0.080
409.00,0.078
409.50,0.080
410.00,0.081
410.50,0.084
411.00,0.079
411.50,0.081
412.00,0.079
412.50,0.071
413.00,0.072
413.50,0.078
414.00,0.071
414.50,0.081
415.00,0.080
415.50,0.068
416.00,0.075
416.50,0.077
417.00,0.075
417.50,0.078
418.00,0.081
418.50,0.085
419.00,0.075
419.50,0.078
420.00,0.081
420.50,0.086
421.00,0.075
421.50,0.093
422.00,0.091
422.50,0.091
423.00,0.097
423.50,0.083
424.00,0.088
424.50,0.081
425.00,0.090
425.50,0.084
426.00,0.090
426.50,0.081
427.00,0.084
427.50,0.085
428.00,0.083
428.50,0.086
429.00,0.079
429.50,0.080
430.00,0.081
430.50,0.082
431.00,0.078
431.50,0.085
432.00,0.081
432.50,0.084
433.00,0.079
433.50,0.076
434.00,0.082
434.50,0.089
435.00,0.076
435.50,0.082
436.00,0.081
436.50,0.078
437.00,0.084
437.50,0.083
438.00,0.080
438.50,0.076
439.00,0.079
439.50,0.083
440.00,0.087
440.50,0.080
441.00,0.085
441.50,0.084
442.00,0.081
442.50,0.084
443.00,0.083
443.50,0.083
444.00,0.087
444.50,0.079
445.00,0.082
445.50,0.082
446.00,0.086
446.50,0.080
447.00,0.081
447.50,0.076
448.00,0.078
448.50,0.076
449.00,0.078
449.50,0.080
450.00,0.075
450.50,0.080
451.00,0.075
451.50,0.080
452.00,0.077
452.50,0.075
453.00,0.079
453.50,0.080
454.00,0.072
454.50,0.080
455.00,0.072
455.50,0.077
456.00,0.082
456.50,0.079
457.00,0.079
457.50,0.081
458.00,0.076
458.50,0.080
459.00,0.077
459.50,0.077
460.00,0.084
460.50,0.067
461.00,0.076
461.50,0.076
462.00,0.079
462.50,0.073
463.00,0.084
463.50,0.077
464.00,0.075
464.50,0.077
465.00,0.081
465.50,0.077
466.00,0.075
466.50,0.076
467.00,0.073
467.50,0.072
468.00,0.073
468.50,0.070
469.00,0.075
469.50,0.071
470.00,0.071
470.50,0.078
471.00,0.073
471.50,0.070
472.00,0.069
472.50,0.073
473.00,0.077
473.50,0.075
474.00,0.074
474.50,0.074
475.00,0.073
