"sample_b.txt - RawData"
"Wavelength nm.","T%"
397.00,75.419
397.50,73.916
398.00,72.173
398.50,70.697
399.00,69.145
399.50,67.531
400.00,66.421
400.50,65.576
401.00,64.384
401.50,63.728
402.00,63.255
402.50,62.731
403.00,62.759
403.50,63.022
404.00,62.937
404.50,63.235
405.00,63.825
405.50,64.114
406.00,65.111
406.50,65.774
407.00,66.846
407.50,67.941
408.00,68.702
408.50,69.884
409.00,71.188
409.50,71.897
410.00,72.852
410.50,73.638
411.00,74.327
411.50,74.674
412.00,75.130
412.50,75.255
413.00,75.274
413.50,75.059
414.00,74.773
414.50,74.279
415.00,74.027
415.50,73.592
416.00,73.170
416.50,72.522
417.00,72.186
417.50,71.875
418.00,71.561
418.50,71.494
419.00,71.660
419.50,71.449
420.00,71.672
420.50,72.255
421.00,72.406
421.50,73.287
422.00,73.950
422.50,74.992
423.00,75.753
423.50,76.675
424.00,78.012
424.50,78.948
425.00,80.161
425.50,81.552
426.00,82.686
426.50,83.935
427.00,85.157
427.50,85.861
428.00,87.086
428.50,87.483
429.00,87.766
429.50,88.141
430.00,87.981
430.50,87.512
431.00,87.420
431.50,86.655
432.00,85.705
432.50,84.743
433.00,83.656
433.50,82.465
434.00,80.907
434.50,79.930
435.00,78.706
435.50,77.426
436.00,75.907
436.50,74.868
437.00,73.824
437.50,73.019
438.00,72.349
438.50,71.661
439.00,70.938
439.50,70.488
440.00,70.111
440.50,69.816
441.00,69.716
441.50,69.701
442.00,69.985
442.50,70.004
443.00,70.410
443.50,71.150
444.00,71.369
444.50,71.997
445.00,72.835
445.50,73.546
446.00,74.287
446.50,74.988
447.00,75.876
447.50,76.690
448.00,77.292
448.50,77.878
449.00,78.711
449.50,79.476
450.00,79.981
450.50,80.362
451.00,81.007
451.50,81.184
452.00,81.221
452.50,81.478
453.00,81.262
453.50,81.052
454.00,81.090
454.50,80.913
455.00,80.571
455.50,80.071
456.00,79.644
456.50,79.314
457.00,78.876
457.50,78.296
458.00,78.240
458.50,77.890
459.00,77.386
459.50,77.445
460.00,77.255
460.50,77.134
461.00,77.438
461.50,77.356
462.00,77.295
462.50,77.752
463.00,78.037
463.50,78.484
464.00,79.045
464.50,79.709
465.00,80.338
465.50,81.045
466.00,81.853
466.50,82.709
467.00,83.533
467.50,84.462
468.00,85.454
468.50,86.009
469.00,86.707
469.50,87.426
470.00,87.925
470.50,88.401
471.00,88.783
471.50,89.054
472.00,88.928
472.50,88.561
473.00,88.292
473.50,87.629
474.00,86.761
474.50,85.785
475.00,84.724
475.50,83.435
476.00,81.894
476.50,80.266
477.00,78.635
477.50,76.861
478.00,74.956
478.50,73.239
479.00,71.590
479.50,69.837
480.00,68.134
480.50,66.356
481.00,64.703
481.50,63.214
482.00,61.713
482.50,60.394
483.00,59.045
483.50,57.857
484.00,56.741
484.50,55.713
485.00,54.584
485.50,53.949
486.00,52.964
486.50,52.407
487.00,51.897
487.50,51.397
488.00,50.934
488.50,50.601
489.00,50.407
489.50,50.269
490.00,50.301
490.50,50.338
491.00,50.511
491.50,50.740
492.00,50.958
492.50,51.418
493.00,51.831
493.50,52.281
494.00,52.928
494.50,53.466
495.00,54.229
495.50,55.037
496.00,55.939
496.50,56.771
497.00,57.947
497.50,58.739
498.00,59.846
498.50,60.956
499.00,62.205
499.50,63.386
500.00,64.634
500.50,65.652
501.00,66.887
501.50,68.244
502.00,69.580
502.50,70.771
503.00,71.879
503.50,73.162
504.00,74.307
