"sample_cerveny - RawData"
"Wavelength nm.","T%"
394.00,2.854
394.50,2.795
395.00,2.772
395.50,2.763
396.00,2.708
396.50,2.659
397.00,2.611
397.50,2.621
398.00,2.599
398.50,2.519
399.00,2.514
399.50,2.495
400.00,2.452
400.50,2.430
401.00,2.377
401.50,2.347
402.00,2.348
402.50,2.266
403.00,2.221
403.50,2.232
404.00,2.196
404.50,2.204
405.00,2.148
405.50,2.110
406.00,2.103
406.50,2.066
407.00,2.044
407.50,2.045
408.00,2.003
408.50,1.964
409.00,1.939
409.50,1.915
410.00,1.909
410.50,1.888
411.00,1.850
411.50,1.837
412.00,1.829
412.50,1.817
413.00,1.756
413.50,1.749
414.00,1.729
414.50,1.713
415.00,1.692
415.50,1.650
416.00,1.668
416.50,1.652
417.00,1.649
417.50,1.598
418.00,1.588
418.50,1.570
419.00,1.549
419.50,1.552
420.00,1.523
420.50,1.505
421.00,1.472
421.50,1.488
422.00,1.470
422.50,1.439
423.00,1.437
423.50,1.419
424.00,1.410
424.50,1.396
425.00,1.394
425.50,1.379
426.00,1.369
426.50,1.342
427.00,1.353
427.50,1.318
428.00,1.304
428.50,1.318
429.00,1.302
429.50,1.287
430.00,1.277
430.50,1.282
431.00,1.272
431.50,1.255
432.00,1.234
432.50,1.246
433.00,1.240
433.50,1.201
434.00,1.228
434.50,1.218
435.00,1.199
435.50,1.192
436.00,1.187
436.50,1.177
437.00,1.179
437.50,1.186
438.00,1.168
438.50,1.159
439.00,1.142
439.50,1.136
440.00,1.124
440.50,1.126
441.00,1.133
441.50,1.118
442.00,1.095
442.50,1.099
443.00,1.107
443.50,1.097
444.00,1.087
444.50,1.091
445.00,1.079
445.50,1.075
446.00,1.072
446.50,1.070
447.00,1.051
447.50,1.056
448.00,1.054
448.50,1.060
449.00,1.059
449.50,1.055
450.00,1.041
450.50,1.047
451.00,1.038
451.50,1.019
452.00,1.033
452.50,1.042
453.00,1.026
453.50,1.022
454.00,1.021
454.50,1.032
455.00,1.014
455.50,1.020
456.00,1.038
456.50,1.015
457.00,1.012
457.50,0.996
458.00,1.015
458.50,1.002
459.00,1.002
459.50,0.998
460.00,1.017
460.50,0.998
461.00,0.991
461.50,1.011
462.00,1.009
462.50,0.983
463.00,0.983
463.50,1.003
464.00,0.998
464.50,0.985
465.00,0.990
465.50,0.996
466.00,0.977
466.50,0.998
467.00,0.995
467.50,0.996
468.00,0.994
468.50,0.999
469.00,1.003
469.50,1.007
470.00,1.012
470.50,1.010
471.00,1.013
471.50,1.021
472.00,1.027
472.50,1.018
473.00,1.025
473.50,1.041
474.00,1.031
474.50,1.021
475.00,1.041
475.50,1.035
476.00,1.052
476.50,1.058
477.00,1.053
477.50,1.068
478.00,1.080
478.50,1.080
479.00,1.086
479.50,1.095
480.00,1.099
480.50,1.102
481.00,1.101
481.50,1.126
482.00,1.139
482.50,1.137
483.00,1.151
483.50,1.163
484.00,1.171
484.50,1.204
485.00,1.199
485.50,1.207
486.00,1.218
486.50,1.228
487.00,1.266
487.50,1.263
488.00,1.276
488.50,1.302
489.00,1.300
489.50,1.329
490.00,1.349
490.50,1.361
491.00,1.392
491.50,1.422
492.00,1.416
492.50,1.470
493.00,1.462
493.50,1.496
494.00,1.539
494.50,1.549
495.00,1.573
495.50,1.600
496.00,1.627
496.50,1.672
497.00,1.689
497.50,1.723
498.00,1.761
498.50,1.797
499.00,1.839
499.50,1.878
500.00,1.921
500.50,1.928
501.00,1.969
501.50,2.031
502.00,2.066
502.50,2.106
503.00,2.165
503.50,2.205
504.00,2.267
504.50,2.296
505.00,2.351
505.50,2.401
506.00,2.443
506.50,2.507
507.00,2.563
507.50,2.628
508.00,2.673
508.50,2.709
509.00,2.804
509.50,2.866
510.00,2.938
510.50,2.977
511.00,3.085
511.50,3.143
512.00,3.193
512.50,3.274
513.00,3.364
513.50,3.451
514.00,3.529
514.50,3.633
515.00,3.666
515.50,3.775
516.00,3.852
516.50,3.976
517.00,4.023
517.50,4.143
518.00,4.248
518.50,4.367
519.00,4.436
519.50,4.530
520.00,4.649
520.50,4.745
521.00,4.846
521.50,4.982
522.00,5.066
522.50,5.233
523.00,5.327
523.50,5.457
524.00,5.574
524.50,5.694
525.00,5.839
525.50,5.944
526.00,6.085
526.50,6.235
527.00,6.398
527.50,6.519
528.00,6.641
528.50,6.760
529.00,6.933
529.50,7.096
530.00,7.274
530.50,7.420
531.00,7.552
531.50,7.751
532.00,7.876
532.50,8.044
533.00,8.234
533.50,8.435
534.00,8.600
534.50,8.799
535.00,8.878
535.50,9.107
536.00,9.329
536.50,9.520
537.00,9.717
537.50,9.902
538.00,10.112
538.50,10.291
539.00,10.535
539.50,10.731
540.00,10.995
540.50,11.195
541.00,11.420
541.50,11.645
542.00,11.825
542.50,12.079
543.00,12.367
543.50,12.539
544.00,12.739
544.50,12.990
545.00,13.221
545.50,13.468
546.00,13.695
546.50,13.993
547.00,14.185
547.50,14.417
548.00,14.616
548.50,14.888
549.00,15.135
549.50,15.368
550.00,15.604
550.50,15.886
551.00,16.060
551.50,16.275
552.00,16.585
552.50,16.727
553.00,17.008
553.50,17.251
554.00,17.511
554.50,17.742
555.00,17.992
555.50,18.182
556.00,18.500
556.50,18.679
557.00,18.916
557.50,19.103
558.00,19.397
558.50,19.591
559.00,19.821
559.50,20.012
560.00,20.282
560.50,20.456
561.00,20.725
561.50,20.818
562.00,21.063
562.50,21.240
563.00,21.420
563.50,21.653
564.00,21.827
564.50,22.022
565.00,22.211
565.50,22.445
566.00,22.564
566.50,22.725
567.00,22.963
567.50,23.056
568.00,23.117
568.50,23.350
569.00,23.461
569.50,23.558
570.00,23.706
570.50,23.777
571.00,23.887
571.50,24.019
572.00,24.057
572.50,24.111
573.00,24.191
573.50,24.277
574.00,24.292
574.50,24.311
575.00,24.336
575.50,24.433
576.00,24.352
576.50,24.365
577.00,24.360
577.50,24.333
578.00,24.326
578.50,24.302
579.00,24.329
579.50,24.211
580.00,24.210
580.50,24.171
581.00,24.174
581.50,24.138
582.00,24.123
582.50,24.128
583.00,24.111
583.50,24.058
584.00,24.077
584.50,23.919
585.00,23.964
585.50,23.948
586.00,23.901
586.50,23.898
587.00,23.843
587.50,23.810
588.00,23.772
588.50,23.717
589.00,23.710
589.50,23.733
590.00,23.655
590.50,23.578
591.00,23.477
591.50,23.456
592.00,23.453
592.50,23.401
593.00,23.311
593.50,23.270
594.00,23.141
594.50,23.061
595.00,22.923
595.50,22.943
596.00,22.809
596.50,22.716
597.00,22.624
597.50,22.449
598.00,22.401
598.50,22.245
599.00,22.142
599.50,21.967
600.00,21.836
600.50,21.675
601.00,21.547
601.50,21.362
602.00,21.181
602.50,21.004
603.00,20.838
603.50,20.609
604.00,20.452
604.50,20.228
605.00,20.048
605.50,19.849
606.00,19.679
606.50,19.478
607.00,19.368
607.50,19.197
608.00,19.106
608.50,18.990
609.00,18.904
609.50,18.812
610.00,18.741
610.50,18.656
611.00,18.711
611.50,18.628
612.00,18.573
612.50,18.626
613.00,18.661
613.50,18.663
614.00,18.770
614.50,18.790
615.00,18.876
615.50,18.901
616.00,18.995
616.50,19.045
617.00,19.156
617.50,19.221
618.00,19.240
618.50,19.421
619.00,19.531
619.50,19.682
620.00,19.757
620.50,19.890
621.00,20.009
621.50,20.173
622.00,20.284
622.50,20.440
623.00,20.563
623.50,20.716
624.00,20.833
624.50,20.976
625.00,21.169
625.50,21.323
626.00,21.439
626.50,21.612
627.00,21.801
627.50,21.919
628.00,22.032
628.50,22.257
629.00,22.481
629.50,22.777
630.00,22.868
630.50,23.050
631.00,23.162
631.50,23.391
632.00,23.622
632.50,23.730
633.00,23.924
633.50,24.101
634.00,24.285
634.50,24.479
635.00,24.557
635.50,24.782
636.00,24.885
636.50,25.050
637.00,25.243
637.50,25.387
638.00,25.403
638.50,25.566
639.00,25.570
639.50,25.636
640.00,25.641
640.50,25.660
641.00,25.596
641.50,25.514
642.00,25.634
642.50,25.599
643.00,25.538
643.50,25.586
644.00,25.536
644.50,25.507
645.00,25.589
645.50,25.543
646.00,25.674
646.50,25.547
647.00,25.644
647.50,25.652
648.00,25.722
648.50,25.855
649.00,25.867
649.50,25.949
650.00,25.982
650.50,26.093
651.00,26.174
651.50,26.312
652.00,26.428
652.50,26.488
653.00,26.550
653.50,26.672
654.00,26.853
654.50,26.922
655.00,27.135
655.50,27.308
656.00,27.405
656.50,27.568
657.00,27.628
657.50,27.937
658.00,28.041
658.50,28.170
659.00,28.417
659.50,28.564
660.00,28.709
660.50,28.858
661.00,28.990
661.50,29.198
662.00,29.353
662.50,29.565
663.00,29.630
663.50,29.884
664.00,30.111
664.50,30.218
665.00,30.399
665.50,30.587
666.00,30.778
666.50,30.996
667.00,31.204
667.50,31.301
668.00,31.554
668.50,31.715
669.00,31.800
669.50,32.054
670.00,32.187
670.50,32.470
671.00,32.673
671.50,32.917
672.00,33.291
672.50,33.461
673.00,33.754
673.50,33.975
674.00,34.447
674.50,34.805
675.00,35.146
675.50,35.456
676.00,35.810
676.50,36.175
677.00,36.632
677.50,37.067
678.00,37.541
678.50,37.762
679.00,38.310
679.50,38.846
680.00,39.306
680.50,39.648
681.00,40.475
681.50,40.809
682.00,41.414
682.50,41.857
683.00,42.467
683.50,43.049
684.00,43.596
684.50,44.095
685.00,44.798
685.50,45.241
686.00,45.800
686.50,46.147
687.00,46.578
687.50,46.841
688.00,47.317
688.50,47.617
689.00,48.463
689.50,49.319
690.00,49.683
690.50,50.303
691.00,50.785
691.50,51.405
692.00,51.800
692.50,52.221
693.00,52.806
693.50,53.115
694.00,53.663
694.50,54.034
695.00,54.462
695.50,55.043
696.00,55.238
696.50,55.689
697.00,55.959
697.50,56.576
698.00,56.914
698.50,57.388
699.00,57.665
699.50,57.882
700.00,58.253
700.50,58.871
701.00,59.006
701.50,59.607
702.00,59.817
702.50,60.409
703.00,60.353
703.50,60.784
704.00,60.994
704.50,61.229
705.00,61.541
705.50,61.733
706.00,61.952
706.50,62.349
707.00,62.490
707.50,62.570
708.00,62.712
708.50,63.011
709.00,63.280
709.50,63.609
710.00,63.583
710.50,63.927
711.00,64.109
711.50,64.087
712.00,64.372
712.50,64.752
713.00,64.934
713.50,64.860
714.00,64.897
714.50,65.169
715.00,65.357
715.50,65.539
716.00,65.467
716.50,65.605
717.00,65.814
717.50,65.953
718.00,66.210
718.50,66.228
719.00,66.170
719.50,66.062
720.00,66.364
720.50,66.424
721.00,66.567
721.50,66.722
722.00,66.558
722.50,66.970
723.00,66.942
723.50,67.086
724.00,66.960
724.50,67.152
725.00,67.007
725.50,67.098
726.00,67.181
726.50,67.224
727.00,67.248
727.50,67.447
728.00,67.136
728.50,67.534
729.00,67.372
729.50,67.400
730.00,67.639
730.50,67.892
731.00,67.593
731.50,67.421
732.00,67.605
732.50,67.686
733.00,67.674
733.50,67.815
734.00,67.714
734.50,68.162
735.00,67.683
735.50,67.521
736.00,67.853
736.50,67.673
737.00,67.834
737.50,67.920
738.00,67.951
738.50,67.847
739.00,68.157
739.50,67.623
740.00,67.988
740.50,67.971
741.00,67.900
741.50,67.988
742.00,67.764
742.50,68.079
743.00,67.894
743.50,67.853
744.00,68.101
744.50,67.890
745.00,67.971
745.50,67.825
746.00,67.809
746.50,67.989
747.00,67.736
747.50,67.900
748.00,67.983
748.50,67.901
749.00,68.108
749.50,67.918
750.00,67.965
750.50,67.891
751.00,67.762
751.50,67.839
752.00,67.902
752.50,67.754
753.00,67.743
753.50,67.775
754.00,67.980
754.50,67.641
755.00,67.629
755.50,68.136
756.00,67.800
756.50,67.718
757.00,67.526
757.50,67.746
758.00,67.871
758.50,67.887
759.00,67.748
759.50,67.822
760.00,67.732
760.50,67.387
761.00,67.593
761.50,67.641
762.00,67.401
762.50,67.632
763.00,67.507
763.50,67.747
764.00,67.762
764.50,67.521
765.00,67.426
765.50,67.562
766.00,67.565
766.50,67.563
767.00,67.370
767.50,67.677
768.00,67.663
768.50,67.349
769.00,67.471
769.50,67.426
770.00,67.490
770.50,67.071
771.00,67.584
771.50,67.162
772.00,67.080
772.50,67.676
773.00,67.155
773.50,67.189
774.00,67.434
774.50,67.192
775.00,67.215
775.50,67.403
776.00,67.358
776.50,67.063
777.00,67.076
777.50,67.127
778.00,67.317
778.50,67.545
779.00,67.113
779.50,67.020
780.00,67.101
780.50,66.857
781.00,66.917
781.50,66.810
782.00,66.932
782.50,66.840
783.00,66.743
783.50,66.779
784.00,67.056
784.50,66.773
785.00,67.010
785.50,66.606
786.00,66.611
786.50,66.739
787.00,66.552
787.50,66.515
788.00,66.578
788.50,66.531
789.00,66.414
789.50,66.656
790.00,66.377
790.50,66.342
791.00,66.175
791.50,66.401
792.00,66.158
792.50,65.882
793.00,65.936
793.50,65.752
794.00,65.997
794.50,65.887
795.00,66.166
795.50,66.213
796.00,65.494
796.50,65.612
797.00,65.718
797.50,65.408
798.00,65.773
798.50,65.766
799.00,65.568
799.50,64.979
800.00,65.584
800.50,65.750
801.00,65.685
801.50,65.424
802.00,65.126
802.50,64.938
803.00,65.351
803.50,64.739
804.00,65.042
804.50,64.870
805.00,65.212
805.50,65.314
806.00,64.692
806.50,65.003
807.00,64.925
807.50,64.796
808.00,64.289
808.50,64.485
809.00,65.023
809.50,64.460
810.00,64.492
810.50,64.150
811.00,64.200
811.50,64.062
812.00,63.915
812.50,64.383
813.00,64.463
813.50,64.077
814.00,64.055
814.50,63.569
815.00,63.839
815.50,63.875
816.00,63.556
816.50,63.483
817.00,64.103
817.50,63.854
818.00,63.348
818.50,63.512
819.00,63.104
819.50,63.043
820.00,63.005
820.50,63.177
821.00,62.995
821.50,63.441
822.00,62.739
822.50,63.263
823.00,63.225
823.50,63.096
824.00,62.809
824.50,62.681
825.00,62.377
825.50,62.685
826.00,62.520
826.50,62.416
827.00,63.237
827.50,61.865
828.00,62.329
828.50,62.178
829.00,62.512
829.50,62.011
830.00,61.899
830.50,61.924
831.00,61.951
831.50,62.169
832.00,62.088
832.50,61.445
833.00,62.296
833.50,62.136
834.00,62.006
834.50,61.624
835.00,61.742
835.50,61.579
836.00,61.187
836.50,61.777
837.00,61.562
837.50,61.414
838.00,61.412
838.50,61.600
839.00,60.672
839.50,60.766
840.00,60.913
840.50,61.230
841.00,61.411
841.50,60.509
842.00,61.076
842.50,60.849
843.00,61.115
843.50,60.377
844.00,60.592
844.50,60.017
845.00,60.230
845.50,60.479
846.00,60.472
846.50,60.414
847.00,60.493
847.50,60.121
848.00,59.768
848.50,60.464
849.00,60.726
849.50,59.958
850.00,60.139
850.50,59.700
851.00,59.288
851.50,59.759
852.00,59.501
852.50,59.475
853.00,59.760
853.50,59.561
854.00,59.673
854.50,59.480
855.00,58.882
855.50,59.597
856.00,58.979
856.50,58.672
857.00,59.556
857.50,59.104
858.00,58.966
858.50,58.751
859.00,58.694
859.50,59.237
860.00,58.216
860.50,58.537
861.00,58.542
861.50,58.582
862.00,58.209
862.50,57.894
863.00,58.137
863.50,57.340
864.00,58.428
864.50,57.891
865.00,58.273
865.50,57.530
866.00,57.430
866.50,57.722
867.00,58.162
867.50,58.523
868.00,57.748
868.50,57.701
869.00,57.641
869.50,57.535
870.00,57.752
870.50,58.092
871.00,57.270
871.50,56.884
872.00,57.796
872.50,57.521
873.00,57.207
873.50,56.886
874.00,57.448
874.50,57.276
875.00,57.016
875.50,56.506
876.00,56.826
876.50,57.889
877.00,56.214
877.50,56.234
878.00,56.612
878.50,56.205
879.00,56.636
879.50,55.814
880.00,56.377
880.50,57.572
881.00,57.418
881.50,57.012
882.00,56.577
882.50,56.184
883.00,54.838
883.50,55.919
884.00,55.423
884.50,55.679
885.00,55.829
885.50,55.794
886.00,55.107
886.50,56.854
887.00,55.775
887.50,56.330
888.00,55.931
888.50,56.511
889.00,55.896
889.50,54.287
890.00,54.240
890.50,54.193
891.00,55.282
891.50,54.673
892.00,54.402
892.50,54.136
893.00,56.659
893.50,55.342
894.00,56.080
894.50,56.204
895.00,56.342
895.50,54.211
896.00,55.553
896.50,55.013
897.00,54.346
897.50,54.849
898.00,55.623
898.50,51.608
899.00,52.883
899.50,56.810
900.00,55.504
900.50,53.990
901.00,53.978
901.50,53.880
902.00,53.817
902.50,53.905
903.00,53.826
903.50,53.815
904.00,53.827
904.50,53.808
905.00,53.603
905.50,53.806
906.00,53.690
906.50,53.738
907.00,53.651
907.50,53.613
908.00,53.674
908.50,53.781
909.00,53.634
909.50,53.582
910.00,53.556
910.50,53.596
911.00,53.414
911.50,53.554
912.00,53.472
912.50,53.550
913.00,53.630
913.50,53.344
914.00,53.342
914.50,53.379
915.00,53.460
915.50,53.380
916.00,53.357
916.50,53.262
917.00,53.373
917.50,53.384
918.00,53.372
918.50,53.381
919.00,53.273
919.50,53.215
920.00,53.377
920.50,53.397
921.00,53.329
921.50,53.361
922.00,53.255
922.50,53.360
923.00,53.313
923.50,53.290
924.00,53.195
924.50,53.331
925.00,53.360
925.50,53.293
926.00,53.284
926.50,53.222
927.00,53.241
927.50,53.295
928.00,53.166
928.50,53.087
929.00,53.127
929.50,53.123
930.00,53.156
930.50,53.164
931.00,53.169
931.50,53.168
932.00,53.147
932.50,53.180
933.00,53.091
933.50,53.155
934.00,53.075
934.50,53.026
935.00,53.077
935.50,53.016
936.00,52.979
936.50,53.077
937.00,52.875
937.50,53.018
938.00,52.930
938.50,52.947
939.00,52.949
939.50,52.834
940.00,52.905
940.50,52.832
941.00,52.817
941.50,52.775
942.00,52.812
942.50,52.783
943.00,52.736
943.50,52.692
944.00,52.672
944.50,52.676
945.00,52.639
945.50,52.683
946.00,52.636
946.50,52.660
947.00,52.623
947.50,52.620
948.00,52.537
948.50,52.521
949.00,52.438
949.50,52.465
950.00,52.452
950.50,52.336
951.00,52.386
951.50,52.340
952.00,52.377
952.50,52.279
953.00,52.218
953.50,52.148
954.00,52.120
954.50,52.087
955.00,52.083
955.50,52.125
956.00,52.078
956.50,51.986
957.00,51.920
957.50,51.989
958.00,51.916
958.50,51.879
959.00,51.861
959.50,51.866
960.00,51.803
960.50,51.819
961.00,51.743
961.50,51.648
962.00,51.665
962.50,51.643
963.00,51.565
963.50,51.585
964.00,51.533
964.50,51.516
965.00,51.511
965.50,51.489
966.00,51.527
966.50,51.387
967.00,51.447
967.50,51.326
968.00,51.348
968.50,51.270
969.00,51.278
969.50,51.298
970.00,51.240
970.50,51.165
971.00,51.208
971.50,51.193
972.00,51.116
972.50,51.054
973.00,51.064
973.50,51.042
974.00,50.984
974.50,50.975
975.00,50.951
975.50,50.834
976.00,50.932
976.50,50.861
977.00,50.741
977.50,50.800
978.00,50.724
978.50,50.722
979.00,50.704
979.50,50.629
980.00,50.524
980.50,50.515
981.00,50.448
981.50,50.389
982.00,50.446
982.50,50.401
983.00,50.311
983.50,50.313
984.00,50.292
984.50,50.189
985.00,50.227
985.50,50.158
986.00,50.117
986.50,50.067
987.00,50.034
987.50,49.934
988.00,49.958
988.50,49.884
989.00,49.845
989.50,49.817
990.00,49.765
990.50,49.783
991.00,49.689
991.50,49.621
992.00,49.591
992.50,49.517
993.00,49.522
993.50,49.478
994.00,49.419
994.50,49.403
995.00,49.354
995.50,49.270
996.00,49.254
996.50,49.265
997.00,49.183
997.50,49.144
998.00,49.121
998.50,49.027
999.00,48.954
999.50,48.949
1000.00,48.861
1000.50,48.871
1001.00,48.775
1001.50,48.727
1002.00,48.714
1002.50,48.580
1003.00,48.528
1003.50,48.486
1004.00,48.397
1004.50,48.311
1005.00,48.313
1005.50,48.234
1006.00,48.195
1006.50,48.100
1007.00,48.078
1007.50,47.972
1008.00,47.938
1008.50,47.884
1009.00,47.835
1009.50,47.726
1010.00,47.698
1010.50,47.595
1011.00,47.576
1011.50,47.510
1012.00,47.457
1012.50,47.418
1013.00,47.324
1013.50,47.341
1014.00,47.209
1014.50,47.183
1015.00,47.159
1015.50,47.123
1016.00,47.054
1016.50,47.032
1017.00,46.985
1017.50,46.940
1018.00,46.944
1018.50,46.883
1019.00,46.835
1019.50,46.888
1020.00,46.888
1020.50,46.901
1021.00,46.867
1021.50,46.867
1022.00,46.865
1022.50,46.906
1023.00,46.938
1023.50,46.927
1024.00,46.939
1024.50,46.945
1025.00,46.956
1025.50,46.970
1026.00,46.988
1026.50,47.024
1027.00,47.014
1027.50,47.077
1028.00,47.072
1028.50,47.081
1029.00,47.117
1029.50,47.124
1030.00,47.127
1030.50,47.097
1031.00,47.106
1031.50,47.123
1032.00,47.116
1032.50,47.095
1033.00,47.077
1033.50,47.071
1034.00,47.107
1034.50,47.068
1035.00,47.066
1035.50,47.047
1036.00,47.040
1036.50,47.076
1037.00,47.066
1037.50,47.041
1038.00,47.063
1038.50,47.031
1039.00,47.055
1039.50,47.098
1040.00,47.047
1040.50,47.054
1041.00,47.079
1041.50,47.059
1042.00,47.081
1042.50,47.062
1043.00,47.088
1043.50,47.078
1044.00,47.075
1044.50,47.107
1045.00,47.064
1045.50,47.118
1046.00,47.187
1046.50,47.226
1047.00,47.233
1047.50,47.247
1048.00,47.286
1048.50,47.320
1049.00,47.389
1049.50,47.464
1050.00,47.485
1050.50,47.524
1051.00,47.560
1051.50,47.630
1052.00,47.722
1052.50,47.763
