"sample_e - RawData"
"Wavelength nm.","T%"
394.50,35.039
395.00,35.436
395.50,35.538
396.00,35.760
396.50,36.062
397.00,36.459
397.50,36.823
398.00,37.322
398.50,37.634
399.00,38.378
399.50,38.753
400.00,39.772
400.50,40.610
401.00,41.311
401.50,42.262
402.00,43.387
402.50,44.516
403.00,45.642
403.50,47.071
404.00,48.237
404.50,49.517
405.00,50.771
405.50,51.731
406.00,52.796
406.50,53.520
407.00,54.265
407.50,54.985
408.00,55.383
408.50,55.626
409.00,56.045
409.50,56.158
410.00,56.001
410.50,56.243
411.00,56.314
411.50,56.173
412.00,56.313
412.50,56.206
413.00,56.343
413.50,56.232
414.00,56.459
414.50,56.287
415.00,56.426
415.50,56.685
416.00,56.463
416.50,56.555
417.00,56.712
417.50,56.744
418.00,56.847
418.50,57.173
419.00,57.264
419.50,57.171
420.00,57.492
420.50,57.469
421.00,57.809
421.50,57.905
422.00,58.078
422.50,58.264
423.00,58.332
423.50,58.501
424.00,58.593
424.50,58.687
425.00,58.959
425.50,59.141
426.00,59.191
426.50,59.431
427.00,59.830
427.50,59.836
428.00,60.250
428.50,60.459
429.00,60.366
429.50,60.842
430.00,60.779
430.50,61.161
431.00,61.281
431.50,61.209
432.00,61.796
432.50,61.712
433.00,62.047
433.50,62.166
434.00,61.958
434.50,62.091
435.00,62.244
435.50,62.200
436.00,62.140
436.50,62.262
437.00,62.005
437.50,62.221
438.00,62.089
438.50,62.174
439.00,61.893
439.50,61.765
440.00,61.745
440.50,61.536
441.00,61.466
441.50,61.407
442.00,61.268
442.50,61.149
443.00,60.922
443.50,60.916
444.00,60.632
444.50,60.653
445.00,60.513
445.50,60.467
446.00,60.382
446.50,60.172
447.00,60.115
447.50,60.170
448.00,60.041
448.50,59.737
449.00,59.820
449.50,59.705
450.00,59.614
450.50,59.758
451.00,59.721
451.50,59.623
452.00,59.553
452.50,59.683
453.00,59.575
453.50,59.663
454.00,59.734
454.50,59.883
455.00,59.968
455.50,59.813
456.00,60.072
456.50,60.133
457.00,60.230
457.50,60.308
458.00,60.439
458.50,60.615
459.00,60.662
459.50,60.780
460.00,60.751
460.50,60.903
461.00,60.985
461.50,61.118
462.00,60.976
462.50,61.227
463.00,61.096
463.50,61.084
464.00,61.175
464.50,61.225
465.00,61.094
465.50,61.048
466.00,61.008
466.50,61.073
467.00,60.956
467.50,60.853
468.00,60.723
468.50,60.528
469.00,60.524
469.50,60.366
470.00,60.357
470.50,60.084
471.00,60.077
471.50,60.021
472.00,59.802
472.50,59.680
473.00,59.651
473.50,59.475
474.00,59.384
474.50,59.180
475.00,59.180
475.50,59.074
476.00,58.994
476.50,58.757
477.00,58.685
477.50,58.633
478.00,58.603
478.50,58.580
479.00,58.528
479.50,58.578
480.00,58.514
480.50,58.565
481.00,58.473
481.50,58.646
482.00,58.694
482.50,58.753
483.00,58.738
483.50,58.904
484.00,58.913
484.50,59.083
485.00,59.207
485.50,59.457
486.00,59.491
486.50,59.721
487.00,59.871
487.50,59.913
488.00,60.062
488.50,60.389
489.00,60.436
489.50,60.585
490.00,60.814
490.50,60.989
491.00,61.177
491.50,61.379
492.00,61.463
492.50,61.612
493.00,61.801
493.50,61.959
494.00,62.149
494.50,62.226
495.00,62.258
495.50,62.530
496.00,62.567
496.50,62.783
497.00,62.823
497.50,62.831
498.00,62.884
498.50,62.934
499.00,63.140
499.50,63.088
500.00,63.209
500.50,63.142
501.00,63.296
501.50,63.275
502.00,63.404
502.50,63.501
503.00,63.522
503.50,63.493
504.00,63.681
504.50,63.530
505.00,63.874
505.50,63.772
506.00,63.795
506.50,64.023
507.00,63.964
507.50,63.949
508.00,64.188
508.50,64.233
509.00,64.261
509.50,64.442
510.00,64.578
510.50,64.692
511.00,64.682
511.50,64.897
512.00,65.078
512.50,65.237
513.00,65.487
513.50,65.624
514.00,65.797
514.50,66.062
515.00,66.291
515.50,66.395
516.00,66.908
516.50,67.075
517.00,67.268
517.50,67.591
518.00,67.791
518.50,68.183
519.00,68.413
519.50,68.848
520.00,69.156
520.50,69.506
521.00,69.880
521.50,70.008
522.00,70.379
522.50,70.692
523.00,71.299
523.50,71.367
524.00,71.990
524.50,72.406
525.00,72.457
525.50,72.833
526.00,73.082
526.50,73.409
527.00,73.804
527.50,74.025
528.00,74.233
528.50,74.513
529.00,74.635
529.50,74.839
530.00,74.827
530.50,74.900
531.00,75.080
531.50,75.131
532.00,74.976
532.50,74.960
533.00,74.792
533.50,74.683
534.00,74.511
534.50,74.457
535.00,74.181
535.50,73.850
536.00,73.648
536.50,73.164
537.00,72.888
537.50,72.642
538.00,72.294
538.50,71.845
539.00,71.372
539.50,71.133
540.00,70.711
540.50,70.134
541.00,69.770
541.50,69.409
542.00,68.973
542.50,68.466
543.00,68.160
543.50,67.694
544.00,67.024
544.50,66.779
545.00,66.432
545.50,65.876
546.00,65.530
546.50,65.150
547.00,64.702
547.50,64.276
548.00,64.035
548.50,63.714
549.00,63.470
549.50,63.077
550.00,62.595
550.50,62.250
551.00,62.083
551.50,61.718
552.00,61.522
552.50,61.156
553.00,60.807
553.50,60.595
554.00,60.238
554.50,60.030
555.00,59.761
